,volume,disc1,disc2,disc3,disc4,disc5,users
0,1,1.0,0.0,0.0,0.0,0.0,1
1,1,0.0,0.0,1.0,0.0,0.0,1
2,2,2.0,0.0,0.0,0.0,0.0,1
3,1,1.0,0.0,0.0,0.0,0.0,1
4,1,1.0,0.0,0.0,0.0,0.0,1
5,3,3.0,0.0,0.0,0.0,0.0,1
6,1,1.0,0.0,0.0,0.0,0.0,1
7,1,1.0,0.0,0.0,0.0,0.0,1
8,1,0.0,1.0,0.0,0.0,0.0,1
9,1,0.0,1.0,0.0,0.0,0.0,1
10,1,0.0,0.0,1.0,0.0,0.0,1
11,1,1.0,0.0,0.0,0.0,0.0,1
12,1,1.0,0.0,0.0,0.0,0.0,1
13,1,0.0,0.0,0.0,1.0,0.0,1
14,1,0.0,0.0,0.0,0.0,0.0,1
15,1,0.0,0.0,0.0,1.0,0.0,1
16,1,0.0,0.0,0.0,1.0,0.0,1
17,1,0.0,0.0,0.0,0.0,0.0,1
18,1,0.0,0.0,1.0,0.0,0.0,1
19,1,1.0,0.0,0.0,0.0,0.0,1
20,1,1.0,0.0,0.0,0.0,0.0,1
21,2,1.0,1.0,0.0,0.0,0.0,1
22,1,1.0,0.0,0.0,0.0,0.0,1
23,1,0.0,0.0,0.0,1.0,0.0,1
24,2,1.0,1.0,0.0,0.0,0.0,2
25,1,0.0,0.0,0.0,1.0,0.0,1
26,1,0.0,1.0,0.0,0.0,0.0,1
27,1,0.0,0.0,1.0,0.0,0.0,1
28,2,0.0,2.0,0.0,0.0,0.0,2
29,3,0.0,0.0,0.0,3.0,0.0,3
30,1,0.0,0.0,0.0,1.0,0.0,1
31,1,1.0,0.0,0.0,0.0,0.0,1
32,2,1.0,1.0,0.0,0.0,0.0,2
33,1,1.0,0.0,0.0,0.0,0.0,1
34,1,1.0,0.0,0.0,0.0,0.0,1
35,1,0.0,0.0,1.0,0.0,0.0,1
36,3,1.0,0.0,2.0,0.0,0.0,3
37,1,1.0,0.0,0.0,0.0,0.0,1
38,1,0.0,0.0,0.0,1.0,0.0,1
39,1,1.0,0.0,0.0,0.0,0.0,1
40,1,1.0,0.0,0.0,0.0,0.0,1
41,1,0.0,0.0,1.0,0.0,0.0,1
42,2,1.0,1.0,0.0,0.0,0.0,2
43,2,0.0,0.0,2.0,0.0,0.0,2
44,2,0.0,0.0,1.0,0.0,1.0,2
45,1,0.0,1.0,0.0,0.0,0.0,1
46,1,0.0,0.0,0.0,1.0,0.0,1
47,2,0.0,0.0,1.0,1.0,0.0,2
48,1,1.0,0.0,0.0,0.0,0.0,1
49,2,0.0,0.0,1.0,1.0,0.0,2
50,1,1.0,0.0,0.0,0.0,0.0,1
51,1,0.0,0.0,1.0,0.0,0.0,1
52,1,0.0,0.0,1.0,0.0,0.0,1
53,3,1.0,1.0,0.0,1.0,0.0,3
54,1,0.0,0.0,0.0,1.0,0.0,1
55,4,2.0,2.0,0.0,0.0,0.0,4
56,1,0.0,0.0,1.0,0.0,0.0,1
57,1,1.0,0.0,0.0,0.0,0.0,1
