ID,USER_ID,CREATED_AT,PRODUCT_ID,TOTAL_COST_PENNIES,TOTAL_COST_PRE_DISCOUNT_PENNIES,SOURCE
110786050,440133,2017-03-23 10:29:59.650,193,1800,2000,web
114247432,386193,2019-10-09 16:59:53.209,1782,1870,2200,web
114242128,1747736,2019-10-08 20:38:14.728,2148,3200,4200,web
114259699,860466,2019-10-11 16:42:19.901,1773,2520,2800,web
115048004,974101,2020-01-30 09:39:39.618,2364,3390,3900,web
110802926,65378,2017-03-24 14:06:34.771,193,2600,2600,web
114270408,1089872,2019-10-14 10:46:24.333,1784,3060,3400,web
114940804,1827894,2020-01-14 18:51:44.909,2347,2700,3000,web
110850381,467112,2017-04-20 10:31:43.213,193,1600,2000,web
114276516,1760186,2019-10-14 22:52:07.248,1036,2295,2700,iOS
114946310,1379831,2020-01-15 16:16:39.920,2145,4200,4200,web
114282402,1762354,2019-10-15 19:31:31.244,1036,1700,2700,web
115085712,1886184,2020-02-04 09:35:52.666,107,2070,2300,web
110814506,451537,2017-03-28 20:23:12.812,258,3230,3800,web
110818374,146306,2017-03-30 20:45:26.264,305,3400,3400,web
110819210,89549,2017-03-31 11:19:59.253,193,2000,2000,web
114288278,674901,2019-10-16 19:20:13.665,1036,2200,2700,iOS
110834537,461218,2017-04-10 13:47:45.608,309,3825,4500,web
110869592,158397,2017-04-30 14:23:44.112,118,3000,3000,web
110844735,127776,2017-04-17 08:20:00.457,331,2160,2400,iOS
110854952,306111,2017-04-23 18:10:07.100,340,2700,2700,web
116919045,2620280,2020-05-14 08:04:55.198,107,2800,2800,web
110854593,468881,2017-04-23 13:10:08.982,332,3000,3000,web
110942368,510816,2017-06-06 16:50:30.874,110,3000,3000,web
110860214,426468,2017-04-25 21:27:52.529,339,3060,3400,iOS
110979219,407116,2017-06-24 07:11:23.016,260,2640,3300,web
110876212,419894,2017-05-03 16:07:05.959,193,1500,2000,web
111014412,543517,2017-07-10 11:00:11.914,171,2160,2700,web
110982739,317545,2017-06-26 12:40:12.056,193,2000,2000,iOS
110878782,480247,2017-05-04 15:07:17.619,110,2000,3000,web
110953278,506531,2017-06-12 10:23:00.441,118,3000,3000,web
110953891,122682,2017-06-12 14:09:47.387,193,2000,2000,web
116926470,2622231,2020-05-14 10:54:16.075,2380,4500,5000,web
114304296,1770950,2019-10-20 07:33:56.782,2164,4000,4000,web
114325955,1513827,2019-10-23 17:59:40.177,1036,2295,2700,iOS
114322425,1498749,2019-10-23 08:39:44.962,1782,1870,2200,web
114326821,1779845,2019-10-23 20:19:15.939,1773,1800,2800,web
114322790,1778147,2019-10-23 09:25:14.228,210,2320,2900,web
114322822,626495,2019-10-23 09:28:26.715,210,2900,2900,web
114330094,1780875,2019-10-24 11:40:37.097,2147,2880,3600,web
114333727,1035630,2019-10-24 21:46:58.713,2231,2500,3000,iOS
111052607,560106,2017-07-26 11:03:18.665,254,2000,3000,web
115424640,694315,2020-03-12 09:23:06.115,107,1870,2200,web
114369272,536660,2019-10-31 13:59:32.320,2145,2475,3300,web
114369771,863447,2019-10-31 15:04:12.980,210,2900,2900,web
114383153,262414,2019-11-03 08:38:55.413,1782,1700,2200,iOS
114389268,693047,2019-11-04 10:41:39.797,1784,3060,3400,iOS
111096364,578504,2017-08-15 21:33:03.331,193,1500,2000,web
111135999,593191,2017-09-04 12:06:10.228,454,2300,3300,web
111119994,389868,2017-08-27 20:36:17.197,210,1980,2200,iOS
111126997,479457,2017-08-30 20:37:29.332,110,2550,3000,web
114403270,1431167,2019-11-06 09:50:01.702,110,2500,3000,web
114411452,640086,2019-11-07 13:05:09.953,1782,1980,2200,web
114419357,1814098,2019-11-08 15:48:05.950,210,1800,2800,web
114428089,1611579,2019-11-10 20:45:34.017,1447,3510,3900,web
114430852,1406290,2019-11-11 10:37:31.153,1515,2740,3300,web
114423840,417839,2019-11-09 19:24:55.792,1523,2975,3500,web
114436063,1375241,2019-11-11 19:51:55.719,2192,2720,3400,iOS
114436253,1062356,2019-11-11 20:13:05.079,2192,3060,3400,web
114437227,1817656,2019-11-11 21:53:28.676,210,2400,2900,web
114429562,395811,2019-11-11 09:10:52.999,210,2100,2800,web
114443955,1822572,2019-11-12 18:36:26.700,1758,3900,3900,web
111311648,141716,2017-11-24 14:56:49.270,210,1900,2400,web
111302629,576626,2017-11-21 16:42:28.557,578,1870,2200,web
111318448,525118,2017-11-27 11:04:02.465,642,2640,3300,web
111188041,152740,2017-09-26 20:44:23.720,331,2400,2400,web
111372258,98060,2017-12-13 18:06:37.944,617,4050,4500,web
111327590,90322,2017-11-28 15:37:31.308,577,2400,3000,web
111336613,642551,2017-12-01 13:08:16.350,601,3150,3500,web
111339482,306908,2017-12-03 10:22:20.800,578,1980,2200,iOS
111377211,147119,2017-12-14 14:04:20.823,573,2520,2800,web
111205011,90146,2017-10-04 12:25:01.702,193,2000,2000,web
111377631,506171,2017-12-14 15:02:03.873,573,2240,2800,web
111394421,688438,2017-12-18 11:12:24.364,590,2500,3000,web
111354121,612708,2017-12-07 19:20:17.305,578,5400,6000,web
111401942,690405,2017-12-19 13:42:56.820,590,2000,3000,iOS
111344461,670681,2017-12-04 19:51:12.294,118,2700,3000,web
111364712,676715,2017-12-11 18:30:48.417,654,2900,3900,web
111403117,353625,2017-12-19 16:23:39.667,580,3220,3700,iOS
111442375,702990,2018-01-08 23:00:10.605,681,3000,3000,web
111362059,677983,2017-12-10 22:23:17.559,60,5400,6000,web
111376317,421232,2017-12-14 12:30:47.898,601,2800,3500,web
111363509,487841,2017-12-11 13:16:15.698,577,3000,3000,web
111378416,571021,2017-12-14 16:43:44.694,590,2050,3000,web
111466439,493732,2018-01-18 21:05:07.080,578,2200,2200,web
111287113,629072,2017-11-14 15:38:16.028,578,2200,2200,web
111291302,654482,2017-11-16 11:04:05.956,605,2400,3400,web
110890792,486353,2017-05-10 18:21:14.208,259,10000,10500,web
111310859,54480,2017-11-24 12:20:53.640,590,3100,3600,iOS
111324330,513803,2017-11-28 08:30:32.900,641,2800,3500,web
114891329,786395,2020-01-07 10:32:39.800,210,2380,2800,web
111417690,694269,2017-12-24 15:36:06.013,331,2250,2500,web
111314243,663125,2017-11-25 17:33:52.723,210,1900,2400,web
112976558,1283411,2019-02-25 14:29:07.977,1339,2400,3000,web
112976789,1283492,2019-02-25 15:08:07.015,1518,2080,2600,web
111480427,716431,2018-01-25 08:51:39.874,295,3300,3300,web
112997009,1290303,2019-02-28 20:15:01.687,1519,4050,4500,web
112998870,377253,2019-03-01 09:45:45.281,924,2300,2300,web
114439640,1758544,2019-11-12 10:23:31.810,210,2175,2900,Android
112710143,1181054,2019-01-02 16:55:43.907,1399,2808,3600,web
114462607,122055,2019-11-15 10:49:08.280,1782,1870,2200,web
113024913,339703,2019-03-05 12:11:22.993,836,3315,3900,web
113031227,1303948,2019-03-06 11:22:59.343,1525,2880,3600,web
113037099,62975,2019-03-07 10:56:34.890,1518,2340,2600,web
114486714,1839884,2019-11-19 15:08:43.343,2192,2652,3400,web
114486421,1839781,2019-11-19 14:31:40.023,1132,2300,3300,web
114488684,1500612,2019-11-19 19:32:47.874,1782,1700,2200,iOS
114496710,242283,2019-11-20 19:53:32.859,2232,3400,4000,web
113094910,1326769,2019-03-17 21:13:32.870,836,4000,4500,web
113057656,1313703,2019-03-11 16:41:56.492,1527,2880,3200,iOS
113063639,1315669,2019-03-12 12:50:44.123,1688,5500,5500,web
114514547,1850336,2019-11-23 15:51:26.056,60,4200,6000,web
113072945,1319185,2019-03-13 18:51:23.721,1681,3200,4200,web
114524556,1705839,2019-11-25 11:17:25.841,1782,1436,2200,web
113076612,1279725,2019-03-14 10:58:02.235,1558,2520,3300,web
113078080,1320877,2019-03-14 13:43:16.957,1518,1600,2600,web
113130966,1069725,2019-03-22 10:13:21.245,1518,2340,2600,web
113087580,1069805,2019-03-16 11:32:50.806,110,3200,3500,web
114547106,949200,2019-11-27 19:28:04.302,1515,2975,3500,iOS
114553577,1865268,2019-11-28 12:52:12.924,1785,4100,4600,web
113090163,1322288,2019-03-17 07:30:58.759,924,1800,2300,web
113094158,1326520,2019-03-17 19:42:23.520,726,2300,3300,web
113096055,1327168,2019-03-18 08:33:57.138,1689,2600,3600,web
114560930,1868125,2019-11-29 06:48:38.352,2233,2000,2500,web
111676595,660342,2018-03-06 17:33:16.121,578,1670,2500,web
110892999,214780,2017-05-11 13:29:43.253,193,1500,2000,web
111525684,735740,2018-02-09 08:20:11.051,709,2900,3900,web
111608289,770834,2018-02-27 19:39:31.604,836,2800,3500,web
110900648,472788,2017-05-15 20:59:00.650,260,2805,3300,web
111713526,373882,2018-03-08 10:13:49.371,829,2220,3200,iOS
111516696,729693,2018-02-07 11:09:05.210,726,2240,2800,web
111544207,65213,2018-02-12 14:17:21.958,728,2050,3000,iOS
110918679,118577,2017-05-25 09:49:20.119,167,2500,2500,web
111558061,60954,2018-02-13 15:26:57.768,709,2240,3200,web
110927882,504146,2017-05-30 18:57:55.447,386,3300,3300,web
110020448,39350,2015-02-12 22:18:51.371,16,2500,2500,iOS
111744446,454852,2018-03-10 09:13:01.150,851,7100,7100,web
111635109,527884,2018-03-04 10:00:11.890,331,2600,2600,Android
111553948,749172,2018-02-13 11:24:08.735,709,2700,3500,web
111569977,358041,2018-02-16 21:57:06.796,727,2900,3300,web
111656745,566739,2018-03-05 18:34:06.759,578,2580,2800,web
111557983,429163,2018-02-13 15:21:25.260,728,2600,3000,web
111574744,433955,2018-02-19 10:16:19.106,331,2250,2500,web
111742369,584969,2018-03-09 20:04:32.159,578,2900,2900,web
111572178,758082,2018-02-18 09:33:34.989,850,2376,2700,web
110070311,47144,2015-09-15 16:52:14.250,41,100,1500,web
110900261,154451,2017-05-15 18:46:07.230,118,3000,3000,web
110911626,274102,2017-05-21 20:17:03.289,193,1000,2000,web
111676166,678430,2018-03-06 17:09:03.419,331,3600,3600,web
111643760,526503,2018-03-04 22:23:04.314,726,2800,2800,iOS
111622945,357497,2018-03-02 10:29:36.664,726,1380,2800,iOS
110893016,214780,2017-05-11 13:34:03.968,259,2200,2700,web
111673650,793645,2018-03-06 14:41:56.226,578,1760,2200,web
111639005,727546,2018-03-04 15:39:10.941,578,2200,2200,Android
