,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
169,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,1.0,5.0,1.0,2.0,12700.0,2400.0,4000.0,2015,10
171,1.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,10100.0,2600.0,7000.0,2015,10
172,2.0,0.0,0.0,0.0,0.0,97.0,1.0,37.0,97.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,12700.0,4000.0,2400.0,2015,10
173,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,2.0,1.0,9.0,3.0,1.0,23500.0,7900.0,2400.0,2015,10
175,2.0,0.0,0.0,0.0,0.0,99.0,2.0,32.0,99.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,22600.0,2400.0,2000.0,2015,10
176,1.0,119.0,2.0,36.0,120.0,20.0,1.0,5.0,20.0,104.0,1.0,28.0,104.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,12400.0,4200.0,2400.0,2015,10
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,8.0,1.0,1.0,21300.0,5000.0,2600.0,2015,10
179,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,1.0,7.0,7.0,2.0,18700.0,15000.0,4000.0,2015,11
180,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,2.0,6.0,1.0,3.0,12800.0,5000.0,7900.0,2015,11
181,1.0,121.0,1.0,45.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,12200.0,2600.0,2400.0,2015,11
182,1.0,0.0,0.0,0.0,0.0,119.0,2.0,36.0,120.0,99.0,2.0,32.0,99.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,1.0,6.0,2.0,1.0,15200.0,4800.0,2400.0,2015,11
183,1.0,60.0,1.0,22.0,60.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,20.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,4.0,1.0,0.0,7.0,2.0,2.0,17600.0,8500.0,4200.0,2015,11
184,2.0,2.0,2.0,0.0,2.0,32.0,1.0,11.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,13500.0,8000.0,3500.0,2015,11
