last_email,weekend,same_day,avg_email_sent,opened_email,row_num,discount%,max_purchase_discount,last_pos_email,avg_days_between_purchases,purchase
0,1,0,2.0,1,3,40.0,40.0,3,0.0,1
0,0,0,13.75,0,59,0.0,10.0,3,28.0,0
0,0,0,23.0,0,240,15.0,0.0,48,45.11111111111112,0
0,0,0,0.0,0,155,0.0,0.0,156,0.0,0
1,0,1,1.1428571428571428,1,15,0.0,0.0,9,0.3333333333333333,1
0,0,0,0.0,0,127,0.0,0.0,128,0.0,0
0,0,0,0.0,0,234,15.0,0.0,235,0.0,0
1,1,1,17.130434782608695,0,834,0.0,0.0,35,13.444444444444445,1
1,0,1,9.25,1,41,15.0,15.0,38,0.0,1
0,0,0,0.0,0,40,0.0,0.0,41,0.0,0
0,0,0,30.75,0,381,15.0,15.0,66,79.81818181818181,0
0,0,0,0.0,1,4,15.0,0.0,5,0.0,0
0,0,0,388.1666666666667,0,2335,15.0,10.0,2060,45.0,1
1,0,1,23.125,1,193,15.0,10.0,94,58.85714285714285,1
0,0,0,121.5,0,245,0.0,20.0,84,0.0,0
0,0,0,173.0,0,174,10.0,10.0,174,0.0,1
1,0,0,5.0,1,18,0.0,0.0,16,2.5,1
1,0,1,95.5,0,386,15.0,15.0,306,32.666666666666664,1
0,0,0,0.0,0,391,0.0,0.0,392,0.0,0
0,0,0,32.0,0,33,10.0,0.0,28,0.0,0
1,0,1,37.0,1,152,0.0,0.0,143,0.0,1
0,0,0,108.0,0,327,15.0,10.0,180,2.0,0
0,0,0,0.0,1,0,40.0,0.0,1,0.0,0
0,0,0,185.3333333333333,0,559,0.0,0.0,311,67.0,1
1,0,0,17.15,1,363,15.0,15.0,2,14.894736842105264,1
1,0,1,0.0,1,2,0.0,0.0,1,0.0,1
1,0,1,61.0,0,372,0.0,0.0,131,193.0,1
1,0,0,5.25,1,50,0.0,0.0,24,9.857142857142858,1
0,0,0,45.5,1,93,0.0,0.0,86,2.0,1
0,0,0,22.5,0,47,15.0,15.0,43,6.0,1
1,0,0,17.0,0,342,15.0,15.0,160,21.27777777777778,1
0,1,0,116.66666666666669,0,706,0.0,0.0,60,66.4,1
0,0,0,52.333333333333336,0,160,0.0,0.0,64,338.5,1
0,0,0,0.0,0,1,15.0,0.0,2,0.0,0
1,0,1,49.5,0,808,20.0,0.0,212,51.333333333333336,1
1,0,0,1.0,0,10,0.0,0.0,0,11.75,1
1,0,1,0.3333333333333333,1,2,15.0,15.0,0,0.0,1
0,0,0,27.0,0,84,10.0,0.0,61,21.0,0
1,0,1,12.625,1,109,0.0,0.0,85,13.571428571428571,1
0,0,0,41.57142857142857,0,298,15.0,15.0,102,57.833333333333336,1
0,0,0,17.5,0,222,15.0,15.0,85,15.818181818181818,1
0,0,0,30.33333333333333,0,94,15.0,10.0,48,2.5,0
0,0,0,82.83333333333333,1,503,0.0,0.0,148,28.4,0
1,1,0,5.4,0,32,0.0,0.0,28,1.25,1
1,0,0,1.5,0,5,0.0,0.0,4,2.0,1
0,0,0,0.0,0,31,0.0,0.0,32,0.0,0
1,1,1,14.91304347826087,0,366,15.0,15.0,2,12.954545454545457,1
0,1,0,18.42105263157895,0,369,15.0,15.0,33,11.944444444444445,1
1,0,1,29.5,0,61,15.0,15.0,60,0.0,1
0,0,0,6.0,1,7,20.0,20.0,7,0.0,1
0,0,0,14.444444444444445,1,139,0.0,10.0,16,97.375,1
0,0,0,0.0,0,438,15.0,0.0,439,0.0,0
1,0,1,5.5,1,13,15.0,15.0,12,0.0,1
0,0,0,84.36363636363636,0,939,0.0,15.0,92,44.1,0
1,0,1,37.16666666666666,0,229,10.0,10.0,224,0.0,1
1,0,1,0.5,0,1,10.0,10.0,0,0.0,1
1,0,1,22.666666666666668,1,426,15.0,15.0,12,26.41176470588235,1
0,0,0,194.4,0,977,15.0,0.0,3,35.5,0
1,1,0,21.97142857142857,1,804,0.0,15.0,14,28.147058823529413,1
1,0,0,3.6666666666666665,0,14,10.0,10.0,12,3.5,1
1,0,1,0.3333333333333333,1,2,10.0,10.0,0,0.0,1
1,0,1,10.333333333333334,1,34,15.0,15.0,32,0.0,1
0,0,0,0.0,0,17,0.0,0.0,18,0.0,0
0,0,0,1.0,0,2,40.0,40.0,2,0.0,1
1,0,1,1.3333333333333333,1,14,0.0,10.0,0,25.2,1
1,0,0,14.0,1,45,0.0,0.0,7,63.0,1
1,0,1,23.5,0,98,15.0,15.0,95,0.3333333333333333,1
1,0,1,2.9,0,39,15.0,15.0,28,0.7777777777777778,1
1,0,1,4.727272727272728,0,63,15.0,15.0,26,20.7,1
0,0,0,37.0,0,38,10.0,15.0,15,0.0,0
0,0,0,0.0,0,227,0.0,0.0,228,0.0,0
0,0,0,0.0,0,16,15.0,0.0,17,0.0,0
1,0,1,53.142857142857146,0,379,15.0,0.0,105,172.5,1
0,0,0,201.0,1,202,10.0,10.0,202,0.0,1
1,0,0,6.428571428571429,1,52,20.0,15.0,42,16.333333333333332,1
1,0,1,1.0,1,4,10.0,10.0,3,0.0,1
0,0,0,0.0,0,77,0.0,0.0,78,0.0,0
