CAMPAIGN_ID,NAME,VARIATION_NAME,PERCENTAGE_DISCOUNT
6a47a6e74a5b4250b10d6e6d7537f7d9,26/08/19 Push Notification - IOS 15% off sale Last chance,GIF: BOUQUETS,15
70c44a9a57cb06a141474dada8b288a5,Delivery complete (en) - 3.0,Old,15
c6dafe72c0eeb604a382fd9af47aee4d,DE - 13/09/20 - Refresh the home - 15%,15%,15
8ea4d4d1e46719f6c6edd9149d28a7e6,FB_ActiveCustomers_Test,Variant 1,20
da7cae4c808a032a244f38e7337f2a85,30/04/19 At Risk text email - 20% off,CVJ74,20
9bd41d81ff71f0741a51aa043c048be3,Password reset (en) - 7.0,,40
c7775d97d9c50517554005650ec8a9b8,08/02/18 - 6vdaytext V1F7W 15% off bought for xmas not since,xmas text,15
12b0a39cfbcbb65dc892acbc4cce5259,23/06/20 - Roses - NL (with blog) - 0%,NL with blog,0
23736b7d71ded8c08a91a90b21755a26,28/09/17 - Matisse Launch - Zerocode MSN Emails,Variant 1,0
801d8944a51c86355e5a798dd2afd3bf,Occasion Reminder iOS PUSH 7 days before Women,7daysPush1,0
837256acb553504a619ebb7fb88386f3,20/10 - Esme spotlight repeaters,Text first,0
cb465303a480caa7bd22a01de5f6e957,03/12/19 - 25% sale extended - text email 25%,,25
cb465303a480caa7bd22a01de5f6e957,03/12/19 - 25% sale extended - text email 25%,SL no discount,25
53fdae1ede7cfd9fe21498f702caa517,190320TEXT14 - SWEEPUP,Variant 1,20
2ef0041d4bcc06a05b9c1d5ad7beae39,14/06 - Succulents,,0
09784b530d41d599363bde55c36a4850,DE - 26/08/2018 - Lily bouquet plus free add on & Workshop,Double the stems,
880dd863122afa987d88b15fd81d1c9f,19/11/18 Mini Tree Launch - Test,Hero + Product Des.,0
8f1a7bb6c7b0f609ffdd42992c304af0,13/02/18 - Last Chance for Vday TEXT,xmas text,15
2bb0af54fe17e2e657c791ddb4c3a9bf,16/04/19 10% off - IOS - IAM,Variant 1,25
aee9558b14e4879b53d0cb8e475185ff,20/12 - £5 Gifting Zenday,,
b6282fd833d1435bfe9a09263860e156,Confirm Purchase (en) - 5.5,,40
eaeefcf45446021f396ff0d63c57983a,09/03/17 - Web to app 15% offer,,15
101a5650e42259f3971f3354386f8af1,DE - 19/12/17 - Christmas Bundles,Variant 1,10
827a871c43d4e2a440ea7840f69f3d86,DE Inferred Occasion Email PD,Variant 1,15
